# settings: ObjectDict([('device', 'cpu'), ('num_threads', 1), ('lr', 0.01), ('batch_size', 8), ('n_lstm', 16), ('n_updates', 50000.0), ('results_dir', 'results'), ('print_stats_at', 10.0), ('plot_at', 10000.0), ('validate_at', 500.0), ('n_samples', 100000.0), ('rnd_seed', 123)])
[train] u: 0000010; loss: 1.4071540; sec/update: 0.4359173;lr: 0.0099982
[train] u: 0000020; loss: 0.4335987; sec/update: 0.4200590;lr: 0.0099962
[train] u: 0000030; loss: 0.3186508; sec/update: 0.5578235;lr: 0.0099942
[train] u: 0000040; loss: 0.3168283; sec/update: 0.5029444;lr: 0.0099922
[train] u: 0000050; loss: 0.2635947; sec/update: 0.4435081;lr: 0.0099902
[train] u: 0000060; loss: 0.3050224; sec/update: 0.4344442;lr: 0.0099882
[train] u: 0000070; loss: 0.2095764; sec/update: 0.4760185;lr: 0.0099862
[train] u: 0000080; loss: 0.7328840; sec/update: 0.5883840;lr: 0.0099842
[train] u: 0000090; loss: 0.3129368; sec/update: 0.4942353;lr: 0.0099822
[train] u: 0000100; loss: 0.2213745; sec/update: 0.3626282;lr: 0.0099802
[train] u: 0000110; loss: 1.1797311; sec/update: 0.4550751;lr: 0.0099782
[train] u: 0000120; loss: 0.3708888; sec/update: 0.4208051;lr: 0.0099762
[train] u: 0000130; loss: 0.9798489; sec/update: 0.5634962;lr: 0.0099742
[train] u: 0000140; loss: 1.2955040; sec/update: 0.3898626;lr: 0.0099722
[train] u: 0000150; loss: 1.4376625; sec/update: 0.6067657;lr: 0.0099702
[train] u: 0000160; loss: 0.4311210; sec/update: 0.4146261;lr: 0.0099682
[train] u: 0000170; loss: 0.4225968; sec/update: 0.4917465;lr: 0.0099662
[train] u: 0000180; loss: 1.0719009; sec/update: 0.4828485;lr: 0.0099642
[train] u: 0000190; loss: 0.3468071; sec/update: 0.3887983;lr: 0.0099622
[train] u: 0000200; loss: 0.4751012; sec/update: 0.4751937;lr: 0.0099602
[train] u: 0000210; loss: 0.6165435; sec/update: 0.5459127;lr: 0.0099582
[train] u: 0000220; loss: 0.5992105; sec/update: 0.5104105;lr: 0.0099562
[train] u: 0000230; loss: 0.1886675; sec/update: 0.3331107;lr: 0.0099542
[train] u: 0000240; loss: 0.4514230; sec/update: 0.5307663;lr: 0.0099522
[train] u: 0000250; loss: 0.3411801; sec/update: 0.5873021;lr: 0.0099502
[train] u: 0000260; loss: 0.2673290; sec/update: 0.4280139;lr: 0.0099483
[train] u: 0000270; loss: 0.3826992; sec/update: 0.4294323;lr: 0.0099463
[train] u: 0000280; loss: 0.2972225; sec/update: 0.3822767;lr: 0.0099443
[train] u: 0000290; loss: 0.2598463; sec/update: 0.3488897;lr: 0.0099423
[train] u: 0000300; loss: 0.2820330; sec/update: 0.4357542;lr: 0.0099403
[train] u: 0000310; loss: 1.0492506; sec/update: 0.4960334;lr: 0.0099383
[train] u: 0000320; loss: 0.7298769; sec/update: 0.5491991;lr: 0.0099363
[train] u: 0000330; loss: 0.3999330; sec/update: 0.5876305;lr: 0.0099343
[train] u: 0000340; loss: 0.4216775; sec/update: 0.5547076;lr: 0.0099323
