# settings: ObjectDict([('device', 'cpu'), ('num_threads', 4), ('lr', 0.01), ('batch_size', 64), ('n_lstm', 8), ('n_updates', 10000000.0), ('results_dir', 'results'), ('print_stats_at', 100.0), ('plot_at', 1000.0), ('validate_at', 500.0), ('n_samples', 100000.0), ('rnd_seed', 42)])
[train] u: 0000100; loss: 0.1748305; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.41816967 0.68521818 0.33105718 ... 0.46982336 0.515545   0.6782428 ]; bacc: 0.5000; average_auc:0.4582
[train] u: 0000200; loss: 0.1154236; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.41126698 0.68895488 0.33111903 ... 0.46550393 0.5158418  0.67794598]; bacc: 0.5000; average_auc:0.4593
[train] u: 0000300; loss: 0.0886475; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.40683837 0.67214386 0.33114377 ... 0.4104646  0.515545   0.67755021]; bacc: 0.5000; average_auc:0.4603
[train] u: 0000400; loss: 0.0766405; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.42108909 0.66175039 0.33090873 ... 0.43860769 0.51402389 0.67604136]; bacc: 0.5000; average_auc:0.4610
[train] u: 0000500; loss: 0.0702772; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.42973602 0.66652644 0.33033969 ... 0.44910197 0.51302219 0.67507668]; bacc: 0.5000; average_auc:0.4619
[validation] u: 0000500; loss: 0.0737864; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.67867036 0.96814404 0.78316592 ... 0.47541551 0.47541551 0.26177285]; bacc: 0.5000; validation_auc:0.4614
  New best validation loss: 0.07378637045621872
[train] u: 0000600; loss: 0.0664128; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.42496103 0.65337788 0.3307108  ... 0.36847261 0.49617867 0.67458197]; bacc: 0.5000; average_auc:0.4627
[train] u: 0000700; loss: 0.0635432; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.42454044 0.66886909 0.3299191  ... 0.43556479 0.51035097 0.67413674]; bacc: 0.5000; average_auc:0.4632
[train] u: 0000800; loss: 0.0644102; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.43240803 0.67041986 0.32985725 ... 0.44804809 0.51153818 0.67401306]; bacc: 0.5001; average_auc:0.4643
[train] u: 0000900; loss: 0.0608391; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.43500581 0.66544585 0.32948613 ... 0.42432834 0.51023967 0.67391412]; bacc: 0.5000; average_auc:0.4650
