# settings: ObjectDict([('device', 'cpu'), ('num_threads', 4), ('lr', 0.1), ('batch_size', 64), ('n_lstm', 8), ('n_updates', 10000000.0), ('results_dir', 'results'), ('print_stats_at', 100.0), ('plot_at', 1000.0), ('validate_at', 500.0), ('n_samples', 100000.0), ('rnd_seed', 42)])
[train] u: 0000100; loss: 2.1197174; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.42023553 0.67531964 0.33161384 ... 0.47003117 0.5146546  0.6855892 ]; bacc: 0.5001; average_auc:0.4581
[train] u: 0000200; loss: 2.2866631; baccs: [0.4999629  0.49996287 0.4999629  ... 0.4999629  0.4995919  0.4999629 ]; train_aucs:[0.42023553 0.67531964 0.33160147 ... 0.47003117 0.5145804  0.68353616]; bacc: 0.4998; average_auc:0.4580
[train] u: 0000300; loss: 2.5181222; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.42022316 0.67531964 0.33160147 ... 0.47001633 0.5145804  0.68353616]; bacc: 0.5001; average_auc:0.4584
[train] u: 0000400; loss: 2.6056781; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.42019842 0.67531139 0.33160147 ... 0.47000148 0.5145804  0.68353616]; bacc: 0.5000; average_auc:0.4576
[train] u: 0000500; loss: 2.6507962; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.42021079 0.67531139 0.33139118 ... 0.47000148 0.5145804  0.68353616]; bacc: 0.5001; average_auc:0.4580
[validation] u: 0000500; loss: 2.7471750; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.61253463 0.97506925 0.74852788 ... 0.47022161 0.47091413 0.25761773]; bacc: 0.5001; validation_auc:0.4567
  New best validation loss: 2.7471749782562256
[train] u: 0000600; loss: 2.7385352; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.42018605 0.67528665 0.33111903 ... 0.47004601 0.5145804  0.68353616]; bacc: 0.5000; average_auc:0.4579
[train] u: 0000700; loss: 2.8585894; baccs: [0.5        0.49970305 0.5        ... 0.5        0.5        0.5       ]; train_aucs:[0.4201242  0.67527015 0.32923872 ... 0.47014992 0.5145804  0.68353616]; bacc: 0.5000; average_auc:0.4580
[train] u: 0000800; loss: 2.9878509; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.41792226 0.67532789 0.33114377 ... 0.47053585 0.5145804  0.6835609 ]; bacc: 0.5001; average_auc:0.4583
[train] u: 0000900; loss: 2.9356699; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.42017368 0.67532789 0.33162622 ... 0.47000148 0.5146546  0.6835609 ]; bacc: 0.5001; average_auc:0.4577
