# settings: ObjectDict([('device', 'cpu'), ('num_threads', 4), ('lr', 0.1), ('batch_size', 64), ('n_lstm', 8), ('n_updates', 10000000.0), ('results_dir', 'results'), ('print_stats_at', 100.0), ('plot_at', 1000.0), ('validate_at', 500.0), ('n_samples', 100000.0), ('rnd_seed', 42)])
[train] u: 0000100; loss: 0.0044679; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.46756212 0.40642745 0.59477869 ... 0.48151532 0.65692168 0.51793743]; bacc: 0.5000; average_auc:0.4642
[train] u: 0000200; loss: 0.0042017; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.46811377 0.40661071 0.59517162 ... 0.48152436 0.65694558 0.51795971]; bacc: 0.5000; average_auc:0.4642
[train] u: 0000300; loss: 0.0040686; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.46814584 0.40668532 0.59540968 ... 0.48152979 0.6569613  0.51795793]; bacc: 0.5000; average_auc:0.4642
[train] u: 0000400; loss: 0.0039058; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.46820357 0.40673802 0.59545822 ... 0.48152925 0.65695313 0.51796372]; bacc: 0.5000; average_auc:0.4643
[train] u: 0000500; loss: 0.0041633; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.46831903 0.40677207 0.59563851 ... 0.48152093 0.65694935 0.51795436]; bacc: 0.5000; average_auc:0.4643
[validation] u: 0000500; loss: 0.0044746; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.88981289 0.41579771 0.68191268 ... 0.20845786 0.14203954 0.00936524]; bacc: 0.5000; validation_auc:0.4543
  New best validation loss: 0.004474585875868797
[train] u: 0000600; loss: 0.0040431; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.46793095 0.40856265 0.59685889 ... 0.48130225 0.65739835 0.51821722]; bacc: 0.5000; average_auc:0.4641
[train] u: 0000700; loss: 0.0039225; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.46408549 0.40950147 0.59857391 ... 0.47853562 0.65321779 0.51721792]; bacc: 0.5000; average_auc:0.4643
[train] u: 0000800; loss: 0.0038195; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.47350191 0.4084614  0.59876921 ... 0.47960005 0.65345424 0.51941833]; bacc: 0.5000; average_auc:0.4644
[train] u: 0000900; loss: 0.0038491; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.46257168 0.41135955 0.59417543 ... 0.47748709 0.65509929 0.51697868]; bacc: 0.5000; average_auc:0.4646
[train] u: 0001000; loss: 0.0037473; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.46285392 0.41265275 0.59598521 ... 0.4806748  0.65728201 0.52147217]; bacc: 0.5000; average_auc:0.4643
[validation] u: 0001000; loss: 0.0040393; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.87941788 0.42075078 0.72245322 ... 0.20531978 0.15192508 0.00936524]; bacc: 0.5000; validation_auc:0.4554
  New best validation loss: 0.004039262421429157
[train] u: 0001100; loss: 0.0038799; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.47131458 0.40628741 0.60572518 ... 0.47801398 0.64486297 0.51866452]; bacc: 0.5000; average_auc:0.4644
[train] u: 0001200; loss: 0.0038743; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.47320684 0.41043051 0.60775916 ... 0.47597861 0.64711424 0.51581454]; bacc: 0.5000; average_auc:0.4648
