# settings: ObjectDict([('device', 'cpu'), ('num_threads', 4), ('lr', 0.1), ('batch_size', 64), ('n_lstm', 8), ('n_updates', 10000000.0), ('results_dir', 'results'), ('print_stats_at', 100.0), ('plot_at', 1000.0), ('validate_at', 500.0), ('n_samples', 100000.0), ('rnd_seed', 42)])
[train] u: 0000100; loss: 0.0329351; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66416941 0.33132721 0.3897695  ... 0.55573593 0.89907383 0.90054531]; bacc: 0.5000; average_auc:0.4588
[train] u: 0000200; loss: 0.0310516; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.6641261  0.33132721 0.38976673 ... 0.55573593 0.89907383 0.90054531]; bacc: 0.5000; average_auc:0.4589
[train] u: 0000300; loss: 0.0311833; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66416941 0.33135608 0.38977088 ... 0.55577922 0.89907383 0.90063187]; bacc: 0.5000; average_auc:0.4593
[train] u: 0000400; loss: 0.0297356; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.6641261  0.33132721 0.38980127 ... 0.5558658  0.89907383 0.9026227 ]; bacc: 0.5000; average_auc:0.4596
[train] u: 0000500; loss: 0.0329065; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66432098 0.33132721 0.38979988 ... 0.55588745 0.89916039 0.90115122]; bacc: 0.5000; average_auc:0.4597
[validation] u: 0000500; loss: 0.0351970; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.87464276 0.75383216 0.48384424 ... 0.2987789  0.2987789  0.47539848]; bacc: 0.5000; validation_auc:0.4522
  New best validation loss: 0.03519700840115547
[train] u: 0000600; loss: 0.0327077; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.63909579 0.33132721 0.38981784 ... 0.55612554 0.89924695 0.90314204]; bacc: 0.5000; average_auc:0.4597
[train] u: 0000700; loss: 0.0322576; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66421271 0.33132721 0.38982337 ... 0.55625541 0.89924695 0.90244958]; bacc: 0.5000; average_auc:0.4597
[train] u: 0000800; loss: 0.0299278; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66414776 0.33132721 0.38983027 ... 0.55636364 0.89959318 0.90409417]; bacc: 0.5000; average_auc:0.4597
[train] u: 0000900; loss: 0.0293899; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66418024 0.33132721 0.38981232 ... 0.5562987  0.89933351 0.90400762]; bacc: 0.5000; average_auc:0.4599
[train] u: 0001000; loss: 0.0331001; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.6643318  0.33132721 0.38981094 ... 0.55621212 0.90002597 0.90227646]; bacc: 0.5000; average_auc:0.4598
[validation] u: 0001000; loss: 0.0345657; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.87464276 0.75344245 0.48384424 ... 0.2987789  0.2987789  0.47539848]; bacc: 0.5000; validation_auc:0.4531
  New best validation loss: 0.03456571325659752
[train] u: 0001100; loss: 0.0362702; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.67050277 0.33132721 0.38981646 ... 0.55636364 0.90071843 0.90392106]; bacc: 0.5000; average_auc:0.4601
[train] u: 0001200; loss: 0.0325184; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66427767 0.33132721 0.38978607 ... 0.55597403 0.90132433 0.90184368]; bacc: 0.5000; average_auc:0.4596
[train] u: 0001300; loss: 0.0344974; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66442924 0.33132721 0.38981784 ... 0.55647186 0.90002597 0.90521942]; bacc: 0.5000; average_auc:0.4600
[train] u: 0001400; loss: 0.0323931; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66426685 0.33132721 0.38980955 ... 0.55636364 0.90167056 0.90288237]; bacc: 0.5000; average_auc:0.4601
[train] u: 0001500; loss: 0.0319995; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.65835571 0.33132721 0.38980817 ... 0.55636364 0.90175712 0.90348827]; bacc: 0.5000; average_auc:0.4599
[validation] u: 0001500; loss: 0.0331777; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.88893219 0.75370226 0.48385958 ... 0.2987789  0.2987789  0.47531185]; bacc: 0.5000; validation_auc:0.4530
  New best validation loss: 0.03317772224545479
[train] u: 0001600; loss: 0.0334539; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.6684133  0.33132721 0.38980403 ... 0.55614719 0.90071843 0.90253614]; bacc: 0.5000; average_auc:0.4599
[train] u: 0001700; loss: 0.0363317; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66914949 0.33132721 0.38980679 ... 0.55636364 0.90167056 0.90296893]; bacc: 0.5000; average_auc:0.4599
[train] u: 0001800; loss: 0.0348914; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66416941 0.33132721 0.38980265 ... 0.55636364 0.89976629 0.90314204]; bacc: 0.5000; average_auc:0.4597
[train] u: 0001900; loss: 0.0308136; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.61503984 0.33132721 0.38980265 ... 0.5562987  0.90218991 0.90279581]; bacc: 0.5000; average_auc:0.4600
[train] u: 0002000; loss: 0.0352557; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66678936 0.33132721 0.38980265 ... 0.55645022 0.90167056 0.90392106]; bacc: 0.5000; average_auc:0.4601
[validation] u: 0002000; loss: 0.0363980; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.87464276 0.5671603  0.48384424 ... 0.2987789  0.2987789  0.4751386 ]; bacc: 0.5000; validation_auc:0.4526
[train] u: 0002100; loss: 0.0356766; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66416941 0.33132721 0.38980265 ... 0.55636364 0.90193023 0.90296893]; bacc: 0.5000; average_auc:0.4600
[train] u: 0002200; loss: 0.0312751; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.6641261  0.33132721 0.38980472 ... 0.55636364 0.89976629 0.90296893]; bacc: 0.5000; average_auc:0.4597
[train] u: 0002300; loss: 0.0338943; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66426685 0.33134165 0.38980541 ... 0.55638528 0.90193023 0.9032286 ]; bacc: 0.5000; average_auc:0.4605
[train] u: 0002400; loss: 0.0337930; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66504634 0.33132721 0.38979988 ... 0.55623377 0.90227646 0.90270925]; bacc: 0.5000; average_auc:0.4598
[train] u: 0002500; loss: 0.0368184; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66612896 0.33132721 0.3897985  ... 0.5562987  0.90011252 0.90279581]; bacc: 0.5000; average_auc:0.4598
[validation] u: 0002500; loss: 0.0390698; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.87464276 0.75344245 0.48384424 ... 0.2987789  0.2987789  0.47531185]; bacc: 0.5000; validation_auc:0.4528
[train] u: 0002600; loss: 0.0336040; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66416941 0.33132721 0.38980541 ... 0.55636364 0.90175712 0.90305548]; bacc: 0.5000; average_auc:0.4598
[train] u: 0002700; loss: 0.0351852; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66416941 0.33132721 0.38980265 ... 0.55614719 0.89985285 0.90244958]; bacc: 0.5000; average_auc:0.4595
[train] u: 0002800; loss: 0.0340003; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.6643318  0.33132721 0.38980403 ... 0.55636364 0.90193023 0.90296893]; bacc: 0.5000; average_auc:0.4600
[train] u: 0002900; loss: 0.0427295; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66661614 0.33132721 0.38980817 ... 0.55627706 0.90132433 0.90279581]; bacc: 0.5000; average_auc:0.4594
[train] u: 0003000; loss: 0.0393009; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.65047419 0.33132721 0.38977502 ... 0.55638528 0.90201679 0.90348827]; bacc: 0.5000; average_auc:0.4599
[validation] u: 0003000; loss: 0.0396318; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.90049363 0.70901533 0.48379821 ... 0.2987789  0.2987789  0.47522523]; bacc: 0.5000; validation_auc:0.4531
[train] u: 0003100; loss: 0.0400925; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66419106 0.33132721 0.38978607 ... 0.55597403 0.90002597 0.90184368]; bacc: 0.5000; average_auc:0.4594
[train] u: 0003200; loss: 0.0388280; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.66599905 0.33135608 0.38979988 ... 0.55632035 0.90071843 0.90288237]; bacc: 0.5000; average_auc:0.4598
